Timestamp,AvgFPS,StdDevFPS,AvgIntersections,StdDevIntersections,AvgBuildTimeMs,AvgMemoryKB,StdDevMemoryKB
30.004,7.64352,0.2934,2.95963e+07,85214.1,0.000551528,6794.5,0
60.1291,7.40611,0.163344,2.96896e+07,68424.7,0.00060852,6794.5,0
90.1873,7.32457,0.198787,2.95909e+07,95942.5,0.000575909,6794.5,0
120.268,7.15324,0.204464,2.9601e+07,90880.1,0.000564186,6794.5,0
150.335,7.18898,0.184875,2.96821e+07,75181,0.000590278,6794.5,0
180.363,7.39785,0.191202,2.95781e+07,87370.4,0.000581982,6794.5,0
210.424,7.15688,0.184514,2.95949e+07,85159.2,0.000584651,6794.5,0
240.53,7.31395,0.216361,2.96588e+07,101347,0.000575,6794.5,0
270.561,7.36614,0.228311,2.9604e+07,83869.8,0.000558824,6794.5,0
300.603,7.19519,0.193939,2.96126e+07,94117.4,0.000581482,6794.5,0
330.649,7.42976,0.242591,2.96399e+07,108916,0.000599552,6794.5,0
360.741,7.3819,0.179771,2.96181e+07,67755.4,0.000563514,6794.5,0
390.853,7.31365,0.234855,2.96136e+07,97339.8,0.000556818,6794.5,0
420.933,7.45444,0.236871,2.96467e+07,120560,0.000628571,6794.5,0
450.942,7.372,0.235771,2.96242e+07,77861.8,0.000557014,6794.5,0
481.005,7.35693,0.203221,2.96173e+07,100637,0.000559276,6794.5,0
511.032,7.46674,0.226736,2.96177e+07,296272,0.000559375,6794.5,0
541.086,7.46025,0.226269,2.95781e+07,87258.8,0.000573661,6794.5,0
571.123,7.29539,0.178502,2.96685e+07,80294.8,0.000545662,6794.5,0
601.196,7.52106,0.209796,2.96048e+07,95538.5,0.000587611,6794.5,0
631.313,7.3782,0.228922,2.95904e+07,88332.4,0.000587387,6794.5,0
661.442,7.3395,0.176845,2.96785e+07,79054.5,0.000539819,6794.5,0
691.466,7.53363,0.217358,2.9596e+07,82935.6,0.000562389,6794.5,0
721.491,7.29996,0.20939,2.96097e+07,91819.3,0.000558448,6794.5,0
751.591,7.44776,0.210994,2.96614e+07,92295.5,0.000559375,6794.5,0
781.664,7.48687,0.193091,2.96002e+07,69504.9,0.000552444,6794.5,0
811.797,7.30594,0.191303,2.96047e+07,101949,0.000573636,6794.5,0
841.803,7.50517,0.227173,2.96346e+07,110983,0.000570222,6794.5,0
871.932,7.40705,0.200367,2.96067e+07,167407,0.000578027,6794.5,0
902.028,7.34857,0.199413,2.96044e+07,137684,0.000544796,6794.5,0
932.149,7.4767,0.227326,2.96382e+07,106487,0.000559556,6794.5,0
962.234,7.38639,0.229703,2.96159e+07,83717.6,0.000674324,6794.5,0
992.362,7.34005,0.184863,2.96356e+07,103617,0.000554751,6794.5,0
1022.45,7.48393,0.203352,2.96222e+07,98844.1,0.000560889,6794.5,0
1052.49,7.4287,0.219017,2.9579e+07,87200.5,0.000550224,6794.5,0
1082.55,7.29074,0.179087,2.96858e+07,70491.8,0.000571233,6794.5,0
1112.57,7.53582,0.220272,2.96006e+07,90165.1,0.000632301,6794.5,0
1142.6,7.27268,0.307228,2.96232e+07,121210,0.00056789,6794.5,0
1172.73,7.07785,0.257634,2.97761e+07,123044,0.000562911,6794.5,0
1202.8,7.42218,0.203886,2.9616e+07,214386,0.00055426,6794.5,0
1232.89,7.28315,0.199876,2.96114e+07,93401.8,0.0005621,6794.5,0
1262.95,7.42623,0.254213,2.96611e+07,111634,0.000559641,6794.5,0
1293.09,7.47061,0.190846,2.96022e+07,78661.3,0.000542222,6794.5,0
1323.13,7.29856,0.231625,2.96102e+07,104243,0.000561644,6794.5,0
1353.17,7.49627,0.207095,2.96452e+07,99698.4,0.000594222,6794.5,0
1383.23,7.39171,0.227108,2.96149e+07,104863,0.000763514,6794.5,0
1413.29,7.3585,0.206119,2.96005e+07,112524,0.000543439,6794.5,0
1443.37,7.48541,0.221662,2.96308e+07,106495,0.000555111,6794.5,0
1473.37,7.37323,0.239016,2.96179e+07,85641.9,0.00058914,6794.5,0
1503.42,7.32931,0.227178,2.9636e+07,116266,0.000562273,6794.5,0
1533.47,7.33262,0.273981,2.96831e+07,116409,0.000561818,6794.5,0
1563.52,7.39461,0.223893,2.95911e+07,135034,0.000577477,6794.5,0
1593.62,7.28073,0.19312,2.96875e+07,75326.4,0.000551598,6794.5,0
1623.67,7.52664,0.210099,2.96053e+07,90922.4,0.000557965,6794.5,0
1653.75,7.35373,0.224817,2.9591e+07,115811,0.000600453,6794.5,0
1683.82,7.35274,0.173868,2.96788e+07,73504.2,0.000542986,6794.5,0
1713.85,7.53337,0.24015,2.95909e+07,92860.8,0.00055531,6794.5,0
1743.95,7.28229,0.204871,2.96018e+07,125096,0.000551598,6794.5,0
1774.01,7.46053,0.251391,2.96549e+07,112521,0.000564286,6794.5,0
1804.1,7.44904,0.196981,2.96009e+07,185188,0.000647768,6794.5,0
1834.14,7.29717,0.209122,2.96147e+07,90999.3,0.000546575,6794.5,0
1864.25,7.47825,0.241698,2.96471e+07,107468,0.000569333,6794.5,0
1894.36,7.38094,0.232904,2.96151e+07,157239,0.00059955,6794.5,0
1924.46,7.34998,0.216338,2.96074e+07,95593,0.000564706,6794.5,0
1954.59,7.44269,0.252161,2.96369e+07,163493,0.000554464,6794.5,0
1984.66,7.38947,0.210896,2.95978e+07,214799,0.000563514,6794.5,0
2014.72,7.29098,0.226434,2.96537e+07,99602.5,0.000597717,6794.5,0
2044.76,7.40074,0.258649,2.96562e+07,111275,0.000557658,6794.5,0
2074.89,7.44073,0.216787,2.95746e+07,91303.5,0.000550446,6794.5,0
2104.98,7.2824,0.183086,2.96845e+07,78824.7,0.000598174,6794.5,0
2135.11,7.53966,0.207251,2.9597e+07,83235.9,0.00055815,6794.5,0
2165.13,7.33411,0.223464,2.95901e+07,137697,0.000582727,6794.5,0
2195.23,7.38146,0.193249,2.96747e+07,79055.5,0.000569369,6794.5,0
2225.29,7.52413,0.232681,2.95877e+07,89204.6,0.000562832,6794.5,0
2255.41,7.27824,0.194854,2.96131e+07,85603.9,0.000541096,6794.5,0
2285.46,7.46244,0.250476,2.96329e+07,298764,0.000553571,6794.5,0
2315.54,7.41978,0.212178,2.96201e+07,74341.6,0.000552018,6794.5,0
2345.6,7.2921,0.217679,2.96207e+07,96555.9,0.000557534,6794.5,0
2375.67,7.48877,0.232203,2.96314e+07,154832,0.000547556,6794.5,0
2405.78,7.3785,0.210541,2.96192e+07,77098,0.000576577,6794.5,0
2435.91,7.37453,0.197957,2.96027e+07,110936,0.000573423,6794.5,0
2465.96,7.46138,0.229162,2.96122e+07,355503,0.000568304,6794.5,0
2496.01,7.42642,0.216925,2.95963e+07,85211.2,0.000552018,6794.5,0
2526.11,7.31359,0.16856,2.96571e+07,86113.3,0.000553636,6794.5,0
2556.11,7.50545,0.208959,2.9603e+07,154563,0.000617778,6794.5,0
2586.14,7.40021,0.229448,2.95817e+07,92065.3,0.000603153,6794.5,0
2616.2,7.32186,0.155983,2.96831e+07,64548.4,0.000571364,6794.5,0
2646.29,7.55057,0.216764,2.95816e+07,95867.2,0.000557269,6794.5,0
2676.38,7.31567,0.212617,2.9604e+07,91213.7,0.000547273,6794.5,0
