Timestamp;AvgFPS;StdDevFPS;AvgIntersections;StdDevIntersections;AvgBuildTimeMs;AvgMemoryKB;StdDevMemoryKB
30,1131;4,78997;0,198632;0;0;2,10754;25655,8;2,21103
60,1245;4,57262;0,188521;0;0;1,49169;25654,3;0,0777022
90,2673;4,58441;0,169063;0;0;2,95503;25657,6;3,36904
120,308;4,70096;0,185689;0;0;4,26075;25660,4;0,60941
150,347;4,6662;0,163567;0;0;3,53478;25658,5;2,30572
180,432;4,55794;0,137215;0;0;1,56789;25654,3;0,0758672
210,512;4,46373;0,198446;0;0;1,54065;25654,3;0,125584
240,548;4,53511;0,18165;0;0;4,36675;25660,2;1,42945
270,703;4,61469;0,154072;0;0;4,43776;25660,5;0,550882
300,851;4,58627;0,201617;0;0;2,38664;25656,1;2,30564
331,039;4,47931;0,181505;0;0;1,56936;25654,3;0,0702179
361,161;4,48896;0,178535;0;0;2,6813;25656,6;3,17939
391,163;4,63969;0,177477;0;0;4,42598;25660,4;0,628871
421,173;4,63827;0,173309;0;0;4,03953;25659,7;1,39554
451,332;4,54715;0,141335;0;0;1,58544;25654,3;0,0759906
481,453;4,42045;0,149292;0;0;1,55894;25654,3;0,118771
511,49;4,53184;0,135411;0;0;3,91602;25659,3;2,78347
541,689;4,64225;0,171767;0;0;4,40562;25660,4;0,607884
571,786;4,6584;0,178395;0;0;2,79122;25657,1;2,47457
601,934;4,51591;0,148645;0;0;1,6051;25654,3;0,0724516
